provider_id,provider_name,specialization,distance_km,travel_time_min,rating,review_recency_days,reliability_score,on_time_score,certification_status,vehicle_type,capacity_kg,current_load_kg,price_per_kg,base_fee,cancellation_rate,complaint_rate,eco_score,risk_score,available_slots,location,tools_certifications
P001,BioClean Services,sharps|infectious|blood,3.2,18,4.8,5,0.96,0.94,WHO+EPA+ISO14001,Sealed Biohazard Van,500,120,12,1500,0.02,0.01,88,10,09:00|11:00|14:00|16:00,DHA Karachi,"Autoclave,Needle Destroyer,PPE Kit,Biohazard Bags,GPS Tracker"
P002,MedWaste Pro,sharps|pharmaceutical|plastic,5.1,28,4.6,12,0.91,0.89,WHO+ISO14001,Refrigerated Medical Van,400,80,14,1800,0.04,0.02,82,12,08:00|10:00|13:00|15:00,Gulshan Karachi,"Autoclave,Chemical Neutralizer,PPE Kit,Cold Chain,GPS Tracker"
P003,SafeDispose Pak,infectious|blood|general,2.8,15,4.3,30,0.85,0.83,WHO+EPA,Standard Medical Van,300,60,10,1200,0.07,0.04,75,18,10:00|12:00|15:00|17:00,PECHS Karachi,"Autoclave,PPE Kit,Biohazard Bags"
P004,GreenCycle Med,plastic|general|pharmaceutical,7.4,40,4.1,45,0.79,0.77,ISO14001,Eco-Friendly Van,600,200,8,1000,0.09,0.06,92,22,09:00|14:00|17:00,Korangi Karachi,"Chemical Neutralizer,Recycling Equipment,PPE Kit"
P005,HazardShield Inc,sharps|infectious|blood|pharmaceutical,4.5,24,4.9,3,0.97,0.96,WHO+EPA+ISO14001+OSHA,Fully Sealed Biohazard Truck,800,150,15,2000,0.01,0.005,85,8,08:00|09:00|11:00|13:00|15:00|17:00,Clifton Karachi,"Autoclave,Incinerator,Needle Destroyer,PPE Kit,Cold Chain,GPS Tracker,Body Cam"
P006,MedSafe Solutions,blood|infectious|sharps,6.0,32,4.5,20,0.88,0.87,WHO+EPA,Biohazard Van,450,90,11,1600,0.05,0.03,80,15,10:00|13:00|16:00,North Karachi,"Autoclave,PPE Kit,Biohazard Bags,GPS Tracker"
P007,EcoBio Disposal,plastic|general|pharmaceutical,8.2,45,3.9,60,0.74,0.72,ISO14001,Standard Van,350,100,7,900,0.12,0.08,95,25,11:00|15:00,Landhi Karachi,"Recycling Equipment,PPE Kit,Chemical Neutralizer"
P008,ClearPath Medical,sharps|pharmaceutical,3.8,21,4.7,8,0.93,0.91,WHO+EPA+ISO14001,Sealed Medical Van,400,50,13,1700,0.03,0.02,83,11,08:00|10:00|12:00|14:00|16:00,Saddar Karachi,"Needle Destroyer,Autoclave,PPE Kit,GPS Tracker"
P009,BioGuard Express,infectious|blood|sharps,5.5,30,4.4,15,0.87,0.85,WHO+EPA,Refrigerated Biohazard Van,550,180,12,1800,0.06,0.03,78,16,09:00|12:00|15:00,Malir Karachi,"Autoclave,Cold Chain,PPE Kit,Biohazard Bags"
P010,SafeWaste Corp,sharps|infectious|blood|pharmaceutical|plastic,1.9,10,4.6,25,0.90,0.88,WHO+EPA+ISO14001,Large Biohazard Truck,1000,400,11,1400,0.04,0.025,87,13,08:00|09:00|10:00|11:00|12:00|13:00|14:00|15:00|16:00|17:00,Nazimabad Karachi,"Autoclave,Incinerator,Needle Destroyer,PPE Kit,Cold Chain,GPS Tracker,Chemical Neutralizer"
